,id,Authors,Transform,CorrelationCoefficient,StandardError,Tstatistic,Observations,DegreesofFreedom,NumberofCountries,DependentVariable,Statutory,EATR,EMTR,AverageTaxRate,GenerationType,UniformWeight,GeographicDistanceWeight,SizeWeight,EconomicTiesWeight,OpennessWeight,StackelbergModel,InteractionSpatialLag,SemiElasticity,StandardErrorSemiElasticity,SEYN,OpennessVariableIncluded,CrossSection,IntraNational,CountryFixedEffects,TimeFixedEffects,TimeTrend,StartYear,EndYear,DataEuropeanCountries,DataNonEuropeancountries,DataMixofCountries,IV2SLS,GMM,OLS,OtherEstimator,JournalName,YearofPublication,JournalImpactFactor,ReviewedJournal,Citations,Primary,OldAgePopulation,Unemployment,PartisanPolitics,GovernmentSpending,Size,Prior,Crossauthor
1,1,Rork 2003,1,0.163,0.05,3.26,1440,1351,1,Statutory corporate tax rate,1,0,0,0,SecondGeneration,1,0,0,0,0,0,0,NA,NA,0,0,0,1,1,1,0,1967,1996,0,1,0,1,0,0,0,National Tax Journal,2003,0.806,1,165,1,1,1,0,0,0,0,1
2,1,Rork 2003,1,0.165,0.055,3,1440,1351,1,Statutory corporate tax rate,1,0,0,0,SecondGeneration,0,0,1,0,0,0,0,NA,NA,0,0,0,1,1,1,0,1967,1996,0,1,0,1,0,0,0,National Tax Journal,2003,0.806,1,165,1,1,1,0,0,0,0,1
3,2,Davies and Voget 2008,1,-0.664,0.176,-3.772727273,680,670,37,Effective Average Tax Rate (EATR),0,1,0,0,SecondGeneration,0,0,0,1,0,0,0,NA,NA,0,1,0,0,0,0,1,1980,2005,0,0,1,0,0,1,0,Working Paper,2008,0.0001,0,117,1,0,0,0,1,0,0,0
4,2,Davies and Voget 2008,1,0.006,0.255,0.023529412,680,633,37,Effective Average Tax Rate (EATR),0,1,0,0,SecondGeneration,0,0,0,1,0,0,0,NA,NA,0,1,0,0,1,0,1,1980,2005,0,0,1,0,0,1,0,Working Paper,2008,0.0001,0,117,1,0,0,0,1,0,0,0
5,2,Davies and Voget 2008,1,0.538,0.211,2.549763033,680,669,37,Effective Average Tax Rate (EATR),0,1,0,0,SecondGeneration,0,0,0,1,0,0,0,NA,NA,0,1,0,0,0,0,1,1980,2005,0,0,1,0,0,1,0,Working Paper,2008,0.0001,0,117,1,0,0,0,1,0,0,0
6,2,Davies and Voget 2008,1,1.384,0.507,2.729783037,680,632,37,Effective Average Tax Rate (EATR),0,1,0,0,SecondGeneration,0,0,0,1,0,0,0,NA,NA,0,1,0,0,0,0,1,1980,2005,0,0,1,0,0,1,0,Working Paper,2008,0.0001,0,117,1,0,0,0,1,0,0,0
7,2,Davies and Voget 2008,1,-0.074,0.12,-0.616666667,680,669,37,Effective Average Tax Rate (EATR),0,1,0,0,SecondGeneration,0,0,0,1,0,0,0,NA,NA,0,1,0,0,1,0,1,1980,2005,0,0,1,0,0,1,0,Working Paper,2008,0.0001,0,117,1,0,0,0,1,0,0,0
8,2,Davies and Voget 2008,1,-0.2,0.299,-0.668896321,680,632,37,Effective Average Tax Rate (EATR),0,1,0,0,SecondGeneration,0,0,0,1,0,0,0,NA,NA,0,1,0,0,1,0,1,1980,2005,0,0,1,0,0,1,0,Working Paper,2008,0.0001,0,117,1,0,0,0,1,0,0,0
9,2,Davies and Voget 2008,1,0.547,0.176,3.107954545,680,669,37,Effective Average Tax Rate (EATR),0,1,0,0,SecondGeneration,0,0,0,1,0,0,0,NA,NA,0,1,0,0,0,0,1,1980,2005,0,0,1,1,0,0,0,Working Paper,2008,0.0001,0,117,1,0,0,0,1,0,0,0
10,2,Davies and Voget 2008,1,1.342,0.454,2.955947137,680,632,37,Effective Average Tax Rate (EATR),0,1,0,0,SecondGeneration,0,0,0,1,0,0,0,NA,NA,0,1,0,0,0,0,1,1980,2005,0,0,1,1,0,0,0,Working Paper,2008,0.0001,0,117,1,0,0,0,1,0,0,0
